Jan. 19, 2017   14:05:09
Amperometric i-t Curve
File: c:\users\nanopittet\desktop\transloc\p9aunp.txt
Data Source:  Experiment
Instrument Model:  CHI1030C
Header: 
Note: 

Init E (V) = -6
Sample Interval (s) = 0.002
Run Time (sec) = 300
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-6


Time/sec, Current/A

1.628e+0, -6.105e-9
1.630e+0, -5.185e-9
1.632e+0, -4.571e-9
1.634e+0, -4.571e-9
1.636e+0, -4.264e-9
1.638e+0, -5.185e-9
1.640e+0, -6.105e-9
1.642e+0, -6.105e-9
1.644e+0, -6.105e-9
1.646e+0, -5.492e-9
1.648e+0, -4.878e-9
1.650e+0, -4.571e-9
1.652e+0, -4.571e-9
1.654e+0, -5.185e-9
1.656e+0, -5.492e-9
1.658e+0, -6.105e-9
1.660e+0, -6.105e-9
1.662e+0, -5.799e-9
1.664e+0, -4.878e-9
1.666e+0, -4.571e-9
1.668e+0, -4.878e-9
1.670e+0, -4.878e-9
1.672e+0, -5.185e-9
1.674e+0, -6.105e-9
1.676e+0, -6.105e-9
1.678e+0, -6.105e-9
1.680e+0, -5.185e-9
1.682e+0, -4.571e-9
1.684e+0, -4.571e-9
1.686e+0, -4.571e-9
1.688e+0, -5.185e-9
1.690e+0, -6.105e-9
1.692e+0, -6.105e-9
1.694e+0, -6.105e-9
1.696e+0, -5.492e-9
1.698e+0, -4.878e-9
1.700e+0, -4.571e-9
1.702e+0, -4.571e-9
